date,Mkt-RF,SMB,HML,RMW,CMA,MOM,STR,BAB,QMJ,RF
198206,-3.09,-0.53,1.52,-0.11,2.72,5,0.16,-0.49,0.76,0.96
198207,-3.19,0.95,0.16,1.11,1.54,4.47,-2.91,1.49,1.74,1.05
198208,11.14,-4.29,1.16,-1.9,0.18,-3.52,1.12,-2.27,-0.87,0.76
198209,1.29,2.58,0.34,2.13,-0.04,4.17,4.29,7.55,2.57,0.51
198210,11.3,1.91,-3.68,0.47,-0.37,0.03,2.88,2.78,-1.87,0.59
198211,4.67,4.5,-1.96,-0.74,0.32,5.89,-4.47,6.73,1.52,0.63
198212,0.55,0,0.01,-0.14,1.03,0.02,3.78,3.04,1.11,0.67
198301,3.6,3.28,-0.86,-1.41,-0.46,-1.7,3.14,2.68,-2.32,0.69
198302,2.59,2.91,0.67,-0.65,1.02,3.83,2.69,8.33,0.99,0.62
198303,2.82,1.42,2.07,-0.01,2.82,0.93,0.36,6.53,0.68,0.63
198304,6.67,0.48,0.6,-0.19,1.59,1.81,-0.51,4.67,-0.56,0.71
198305,0.52,6.22,-1.4,-1.89,-1.53,-1.58,2.74,3.13,-2.26,0.69
198306,3.07,1.16,-3.86,2.28,-0.91,1.78,0.2,2.88,1.94,0.67
198307,-4.07,0.97,5.62,-0.11,2.84,-3.14,2,3.8,0.21,0.74
198308,-0.5,-4.32,5.54,0.51,1.94,-5.83,-0.87,-0.88,1.08,0.76
198309,0.92,0.24,1.1,1.15,0.6,-0.11,2.33,3.47,2.1,0.76
198310,-3.44,-3.82,5.06,-0.73,2.96,-4.56,-1.69,3.48,1.89,0.76
198311,2.16,1.88,-0.61,-0.6,0.65,-0.09,4.88,-0.13,-0.69,0.7
198312,-1.78,-0.48,1.68,1.48,1.22,0.75,1.9,1.36,1.98,0.73
198401,-1.92,-0.07,7.62,-1,3,-2.48,0.65,3.3,-2.67,0.76
198402,-4.82,-1.61,3.35,0.85,1.55,0.2,-2.01,-1.92,1.06,0.71
198403,0.63,-0.29,0.49,-0.89,1.09,1.1,2.42,-0.22,0.08,0.73
198404,-0.52,-1.02,1.29,3.29,0.75,2.05,1.51,-0.2,3.32,0.81
198405,-5.97,0.12,0.24,2.29,-0.5,1.53,0.86,1.76,3.03,0.78
198406,1.82,0.08,-2.61,3.06,-1.5,-0.7,0.94,0.75,2.8,0.75
198407,-2.74,-2.23,0.49,3.71,-2.17,2.93,-1.49,2.88,2.9,0.82
198408,10.28,-0.31,-1.84,-0.87,-0.83,-5.68,7.28,0.01,-1.93,0.83
198409,-0.8,0,5.32,1.47,2.53,3.67,4.35,4.44,0.08,0.86
198410,-0.84,-1.44,0.5,1.25,-1.16,3.21,-1.25,2.56,1.7,1
198411,-1.76,-0.99,4.08,0.89,2.08,1.7,-0.67,1.27,1.23,0.73
198412,1.84,-0.69,-0.17,1.23,-1.27,1.54,0.74,0.41,0.73,0.64
198501,7.99,3.5,-5.43,-0.89,-3.35,-6.9,2.33,1.85,-1.04,0.65
198502,1.22,0.99,-0.12,1.38,1.04,1.82,2.42,4.74,1.71,0.58
198503,-0.84,-1.5,4.1,1.23,2.93,1.68,-1.29,3.31,-0.32,0.62
198504,-0.96,-0.1,3.73,1.54,0.72,3.06,-2.47,3.29,0.2,0.72
198505,5.09,-2.34,-0.87,1.31,-1.39,3.99,-0.49,1.43,0.43,0.66
198506,1.27,0.43,0.62,1.56,-0.59,3.63,-0.63,2.9,0.75,0.55
198507,-0.74,2.9,-1.63,-0.55,-0.3,-3.94,3.62,-0.52,0.89,0.62
