date,isu,acr,ivol1m
07-01-1983,-0.029104005,-0.003146399,0.073590429
08-01-1983,-0.021844622,-0.000964894,0.060680653
09-01-1983,-0.001607478,-0.003326069,0.042398427
10-01-1983,-0.054681095,0.016691942,0.106725475
11-01-1983,0.022246575,0.001140184,-0.042429313
12-01-1983,-0.016127466,-0.004632957,0.037750864
01-01-1984,-0.033884611,-0.009539064,-0.028552097
02-01-1984,-0.041499622,-0.004791519,0.00330128
03-01-1984,0.024915622,0.005767023,0.005690622
04-01-1984,-0.001917015,0.006859938,0.04028561
05-01-1984,-0.010634254,0.003690661,0.039560987
06-01-1984,-0.011709332,-0.004751853,-0.001371527
07-01-1984,-0.003995471,-0.01764854,0.043607764
08-01-1984,0.039188606,0.001500181,-0.035722266
09-01-1984,-0.027711871,0.005796263,0.038220227
10-01-1984,0.013498894,-0.011534961,0.050139565
11-01-1984,-0.023047172,0.006994663,0.076084349
12-01-1984,0.016004026,-0.006700363,0.040658819
01-01-1985,0.046985548,-0.030915147,-0.04802545
02-01-1985,-0.017149927,0.01210777,-0.012979521
03-01-1985,-0.013110948,0.022185103,0.019220668
04-01-1985,-0.007121043,0.0032943,0.059240306
05-01-1985,0.020988082,-0.010285673,0.046360104
06-01-1985,0.009638727,0.002015036,0.028240932
07-01-1985,0.028872477,0.000189877,-0.017760528
08-01-1985,-0.014318619,0.014995801,0.018514967
09-01-1985,-0.029675162,0.008292937,0.044670421
10-01-1985,0.010495202,0.001463547,0.023921385
11-01-1985,0.020957529,-0.010892828,0.036904181
12-01-1985,0.012823667,-0.015813453,0.035995847
01-01-1986,0.058732783,-0.000955526,8.08E-05
02-01-1986,0.034669924,0.003469806,0.047647834
03-01-1986,0.012287503,0.00986002,0.038176341
04-01-1986,-0.018488484,0.004980054,-0.021900793
05-01-1986,0.006706578,0.014559077,0.013320154
06-01-1986,0.002755584,0.023723334,-0.001554349
07-01-1986,-0.026490403,0.013419251,0.059988891
08-01-1986,-0.035614702,0.018880727,0.042482244
09-01-1986,-0.023550875,0.013926322,-0.030378115
10-01-1986,-0.016090726,0.002950432,0.044977399
11-01-1986,-0.025694708,0.001226427,0.053261995
12-01-1986,0.008509111,0.005618581,0.028410828
01-01-1987,0.03219224,0.018710622,0.020129736
02-01-1987,0.074890044,-0.023102696,-0.006957474
03-01-1987,-0.022711115,0.024188108,0.014066948
04-01-1987,-0.013086884,0.011733965,0.019641531
05-01-1987,-0.001919574,0.007535939,0.005580775
06-01-1987,-0.001826466,-0.001613504,0.057989288
07-01-1987,-0.008803866,0.012774882,-0.005363024
08-01-1987,0.012147355,-0.011294297,0.042822115
09-01-1987,-0.00044096,0.002901391,0.009401494
10-01-1987,-0.052871793,0.004396268,0.110926628
11-01-1987,0.009423222,-0.002590405,-0.016540499
12-01-1987,0.036704863,0.001071302,0.059492637
01-01-1988,-0.025594547,-0.007934074,-0.020461373
02-01-1988,0.027262959,0.002165598,-0.046026883
03-01-1988,-0.008791329,0.004095816,-0.078611624
04-01-1988,-0.004504844,0.00702672,0.0099495
05-01-1988,-0.00702054,0.004231165,0.057892723
06-01-1988,0.041450542,-0.012110973,0.01463776
07-01-1988,-0.014725029,-0.005082102,0.00813297
08-01-1988,0.001035125,0.008308187,0.020589428
09-01-1988,0.023152991,-0.002719086,0.051558155
10-01-1988,-0.031243077,-0.001014653,0.049780468
11-01-1988,-0.020957846,0.012434254,-0.019908502
12-01-1988,0.014839975,-0.002314157,0.006537336
01-01-1989,0.004864278,-0.003381379,0.027625758
02-01-1989,-0.00489278,0.006378037,-0.022166042
03-01-1989,0.020527809,0.004038598,0.016918333
04-01-1989,0.019082434,0.004364629,0.044863974
05-01-1989,0.025229599,0.011004963,0.01094478
06-01-1989,0.00059451,0.003450968,0.011816394
